Bytes,Time,RSSI,SNR
17,200,-123,-22.930907
17,400,-122,-21.947307
17,600,-124,-22.862318
16,800,-119,-18.439881
17,1000,-125,-24.761983
0,1200,-117,-17.979295
16,1400,-123,-22.147890
16,1600,-122,-21.445502
16,1800,-124,-21.827545
16,2000,-122,-22.942325
16,2200,-122,-22.390998
17,2400,-121,-21.664904
17,2600,-120,-21.824437
16,2800,-125,-24.337916
16,3000,-118,-18.417727
16,3200,-123,-22.644101
16,3400,-122,-22.710801
16,3600,-119,-19.948323
16,3800,-121,-21.476160
16,4000,-120,-21.679713
17,4200,-121,-21.497758
17,4400,-119,-19.461530
16,4600,-122,-24.128338
16,4800,-120,-20.676287
16,5000,-116,-15.557866
16,5200,-118,-18.013249
16,5400,-121,-21.541762
16,5600,-123,-23.140247
16,5800,-123,-25.000000
16,6000,-118,-19.101079
16,6200,-117,-17.186280
17,6400,-119,-19.605147
17,6600,-120,-19.519841
17,6800,-122,-24.056529
17,7000,-122,-25.000000
16,7200,-116,-17.381613
16,7400,-119,-19.952225
16,7600,-122,-25.000000
16,7800,-125,-25.000000
16,8000,-123,-25.000000
16,8200,-120,-22.207646
16,8400,-119,-18.236394
16,8600,-117,-10.000000
16,8800,-123,-24.025164
16,9000,-118,-20.132874
16,9200,-120,-23.721389
17,9400,-120,-20.624516
17,9600,-123,-22.599507
17,9800,-122,-22.410289
17,10000,-120,-20.250000
17,10200,-119,-18.649495
17,10400,-121,-20.816720
17,10600,-122,-21.021702
17,10800,-122,-20.497987
17,11000,-119,-19.704642
17,11200,-120,-19.864900
17,11400,-117,-18.644930
17,11600,-121,-23.805088
17,11800,-120,-20.972017
17,12000,-121,-22.472418
17,12200,-119,-19.948937
17,12400,-117,-18.276339
17,12600,-120,-20.124856
17,12800,-121,-20.691610
16,13000,-117,-17.371648
16,13200,-118,-19.207900
17,13400,-119,-17.070611
17,13600,-118,-19.318514
17,13800,-120,-21.800562
17,14000,-119,-24.428607
17,14200,-122,-28.000000
17,14400,-119,-22.315761
17,14600,-117,-17.900018
17,14800,-116,-15.000000
17,15000,-120,-20.389944
17,15200,-119,-21.339010
