Bytes,Time,RSSI,SNR
17,40722,-120,-3.500000
17,40922,-119,2.500000
17,41122,-116,0.000000
17,41322,-115,-5.250000
17,41522,-112,5.500000
17,41722,-110,4.750000
17,41922,-119,-1.750000
17,42122,-122,-4.500000
17,42322,-121,-1.250000
17,42522,-122,-6.750000
17,42722,-122,-7.500000
17,42922,-122,-7.000000
17,43122,-121,-4.000000
17,43322,-122,-5.000000
17,43522,-122,-6.500000
17,43722,-122,-8.000000
17,43922,-122,-5.750000  
17,44122,-122,-7.000000
17,44322,-121,-4.500000
0,44522,-113,-16.000000
0,44722,-121,-9.250000
0,44922,0,0
0,45122,0,0
0,45322,0,0
17,45522,-123,-16.750000
17,46122,-123,-17.500000
0,46322,-124,-19.750000
0,46522,0,0
0,46722,0,0
0,46922,0,0
17,47122,-123,-16.000000
17,47322,-123,-15.750000
17,47522,-124,-17.500000
17,47722,-123,-14.750000
0,47922,-123,-15.500000
0,48122,0,0
0,48322,0,0
17,48522,-122,-16.500000
17,48922,-123,-19.500000
17,49522,-123,-16.000000
17,50122,-123,-14.500000
17,50322,-123,-15.250000
0,50522,-123,-17.000000
17,50722,-123,-16.000000
17,50922,-123,-15.500000
17,51122,-123,-15.000000
0,51322,-123,-19.500000
0,51522,0,0
17,51722,-123,-18.000000
17,52122,-106,4.500000
17,52322,-100,9.250000
