Bytes,Time,RSSI,SNR
13,4,-117,-11.25000
15,322,-115,-12.750000
15,522,-112,-14.750000
15,722,-116,-12.000000
15,922,-114,-12.000000
16,1122,-115,-6.500000
16,1322,-118,-12.000000
16,1522,-118,-9.250000
16,1722,-118,-8.250000
16,1922,-116,-11.250000
16,2122,-115,-15.500000
16,2522,-117,-11.750000
16,2722,-116,-4.750000
16,2922,-118,-14.500000
16,3122,-118,-6.000000
16,3322,-116,-12.500000
16,3522,-118,-10.500000
16,3722,-118,-13.750000
16,3922,-113,-9.250000
16,4122,-115,-6.750000
16,4322,-115,-6.000000
16,4522,-116,-9.500000
16,4722,-117,-9.000000
16,4922,-117,-5.250000
16,5122,-118,-5.250000
16,5322,-116,-5.250000
16,5522,-117,-6.250000
16,5722,-118,-10.000000
16,5922,-120,-15.250000
16,6122,-118,-10.750000
16,6322,-117,-8.000000
16,6522,-118,-6.250000
16,6722,-117,-9.750000
16,6922,-118,-11.750000
16,7122,-119,-10.000000
16,7322,-119,-9.250000
16,7522,-119,-13.500000
16,7722,-118,-15.000000
16,7922,-117,-17.500000
16,8122,-118,-10.500000
16,8322,-117,-7.750000
16,8522,-115,-10.500000
16,8722,-119,-13.500000
16,8922,-119,-18.250000
16,9122,-116,-16.250000
16,9322,-118,-20.000000
16,9522,-118,-13.750000
16,9722,-119,-17.000000
16,9922,-119,-12.250000
17,10122,-114,-19.500000
17,10522,-120,-8.750000
17,10722,-117,-3.250000
17,10922,-117,-5.000000
17,11122,-114,-4.750000
17,11322,-116,-5.750000
17,11522,-117,-6.000000
17,11722,-116,-10.250000
17,11922,-117,-12.750000
17,12122,-115,-9.500000
17,12322,-117,-8.000000
17,12522,-117,-12.000000
17,12722,-118,-14.750000
17,12922,-118,-11.750000
17,13122,-115,-12.500000
17,13322,-117,-8.500000
17,13522,-118,-10.250000
17,13722,-117,-10.000000
17,13922,-117,-11.500000
17,14322,-118,-13.250000
