Btyes,Time,RSSI,SNR
13,4,-115,-17.000000
15,322,-118,-11.250000
15,522,-118,-10.750000
15,722,-115,-11.750000
15,922,-115,-12.000000
16,1122,-116,-13.750000
16,1322,-115,-14.000000
16,522,-114,-14.750000
16,1722,-115,-21.500000
16,1922,-118,-10.750000
16,2122,-117,-12.250000
16,2322,-116,-12.500000
16,2522,-116,-13.250000
16,2722,-116,-16.000000
16,2922,-114,-11.250000
16,3122,-114,-11.250000
16,3322,-115,-11.500000
16,3522,-116,-8.500000
16,3722,-115,-13.000000
16,3922,-116,-15.750000
0,0,-115,-19.500000
0,0,-116,-24.000000
16,4922,-114,-18.250000
0,0,-115,-23.250000
16,5322,-114,-19.750000
16,5722,-116,-18.500000
16,6722,-114,-18.250000
0,0,-116,-21.500000
0,0,-112,-24.750000
16,9322,-115,-16.250000
16,9522,-115,-11.250000
16,9722,-115,-14.500000
16,9922,-115,-12.000000
17,10122,-114,-13.750000
17,10322,-113,-5.500000
17,10522,-113,-6.250000
17,10722,-113,-6.500000
17,10922,-115,-6.250000
17,11122,-114,-8.250000
17,11322,-113,-7.000000
17,11522,-113,-15.750000
17,11722,-115,-13.000000
17,11922,-114,-14.500000
0,0,-114,-22.750000
17,12922,-114,-12.500000
17,13122,-115,-16.750000
17,13322,-115,-15.000000
17,13522,-114,-12.750000
17,13722,-115,-11.250000
0,0,-115,-21.000000
17,14122,-115,-14.750000
17,14322,-112,-17.250000
17,14522,-112,-21.000000
17,14722,-113,-17.000000
