Bytes,Time,RSSI,SNR
13,4,-117,-13.500000
15,322,-118,-8.000000
15,522,-117,-8.250000
15,722,-117,-16.750000
15,922,-117,-12.250000
16,1122,-116,-13.750000
16,1322,-117,-10.000000
16,1522,-117,-11.500000
16,1722,-115,-14.000000
16,1922,-115,-11.750000
16,2122,-117,-10.000000
16,2322,-115,-14.250000
16,2522,-115,-15.000000
16,2722,-116,-12.750000
16,2922,-111,-17.000000
16,3122,-118,-6.000000
16,3322,-115,-11.000000
16,3522,-115,-8.000000
16,3722,-115,-12.250000
16,3922,-115,-15.250000
16,4122,-114,-16.500000
16,4322,-115,-18.250000
16,4522,-117,-16.750000
16,4722,-116,-12.250000
16,4922,-116,-16.000000
16,5122,-115,-17.000000
16,5522,-115,-18.500000
16,5722,-114,-21.000000
16,5922,-113,-11.000000
16,6122,-112,-15.000000
16,6322,-113,-14.000000
16,6522,-113,-8.250000
16,6722,-114,-8.250000
16,6922,-116,-7.750000
16,7122,-116,-8.000000
16,7322,-116,-7.000000
16,7522,-115,-7.000000
16,7722,-117,-7.000000
16,7922,-115,-7.000000
16,8122,-117,-5.000000
16,8322,-117,-5.750000
16,8522,-117,-10.000000
16,8722,-114,-6.000000
16,8922,-111,-9.750000
16,9122,-113,-9.250000
16,9322,-113,-8.750000
16,9522,-114,-8.000000
16,9722,-116,-10.000000
16,9922,-114,-9.250000
17,10122,-115,-9.000000
17,10322,-115,-9.500000
17,10522,-117,-7.000000
17,10722,-117,-7.750000
17,10922,-117,-6.750000
17,11122,-117,-7.500000
17,11322,-117,-9.500000
17,11522,-118,-4.500000
17,11722,-118,-1.250000
17,11922,-117,-5.750000
17,12122,-117,-2.750000
17,12322,-117,-3.750000
17,12522,-117,-5.250000
17,12722,-117,-5.750000
17,12922,-118,-3.000000
17,13122,-116,-4.500000
17,13322,-115,-3.000000
17,13522,-117,-1.500000
17,13722,-116,-2.250000
17,13922,-115,-2.250000
