Bytes,Time,RSSI,SNR
17,20722,-98,10.500000
17,20922,-98,9.000000
17,21122,-100,8.000000
17,21322,-98,9.250000
17,21522,-92,10.250000
17,21722,-89,10.250000
17,21922,-92,9.000000
17,22122,-88,7.250000
17,22322,-84,10.500000
17,22522,-83,10.000000
17,22722,-83,9.750000
17,22922,-79,10.000000
17,23122,-82,11.250000
17,23322,-80,10.250000
17,23522,-82,10.750000
17,23722,-80,8.250000
17,23922,-76,10.000000
17,24122,-73,10.750000
17,24322,-74,11.500000
17,24522,-74,10.000000
17,24722,-81,10.250000
17,24922,-74,7.750000
17,25122,-77,9.750000
17,25322,-90,9.000000
17,25522,-84,9.750000
17,25722,-84,9.500000
17,25922,-83,9.250000
17,26122,-83,8.500000
17,26322,-87,9.500000
17,26522,-88,9.000000
17,26722,-82,10.250000
17,26922,-86,9.750000
17,27122,-83,10.250000
17,27322,-84,9.250000
17,27522,-80,10.500000
17,27722,-84,9.750000
17,27922,-78,9.750000
17,28122,-74,9.250000
17,28322,-82,7.750000
17,28522,-88,10.000000
17,28722,-86,8.500000
17,28922,-89,8.250000
17,29122,-96,7.500000
17,29322,-99,7.250000
17,29522,-99,7.250000
17,29722,-105,5.750000
17,29922,-103,6.500000
17,30122,-105,7.000000
17,30322,-102,8.750000
17,30522,-104,6.750000
17,30722,-109,4.750000
17,30922,-109,4.000000
17,31122,-105,4.500000
17,31322,-108,1.500000
17,31522,-112,-2.000000
17,31722,-114,-5.250000
17,31922,-114,-1.000000
17,32122,-112,-2.250000
17,32322,-111,-3.500000
17,32522,-114,-4.000000
17,32722,-114,-5.250000
17,32922,-115,-7.500000
17,33122,-116,-12.500000
17,33322,-115,-11.250000
0,33522,-115,-11.500000
0,33722,-116,-14.000000
17,33922,-114,-9.750000
17,34122,-116,-12.750000
17,34322,-116,-15.000000
17,34522,-116,-12.500000
17,34922,-114,-10.250000
17,35122,-116,-15.250000
17,35322,-121,-6.250000
17,35522,-118,-13.000000
17,35722,-116,-19.000000
17,35922,-119,-15.500000
17,36122,-118,-18.750000
0,36322,-118,-16.000000
17,36522,-115,-13.500000
17,36922,-116,-16.750000
17,37122,-115,-15.000000
17,37322,-117,-15.250000
17,37522,-115,-15.000000
0,37722,-118,-21.750000
0,37922,-117,-19.250000
17,39122,-115,-16.000000
17,39522,-119,-14.250000
0,39722,-118,-20.500000
